"","user_id","name","screen_name","location","description","followers_count","friends_count"
"22","824126001936474113","Alternative NOAA","altNOAA","Silver Spring, MD","The Unofficial Resistance team of the NOAA. Account not tax payer subsidized. NOAA studies the oceans, and the atmosphere to understand our planet. #BlueTide 🌊",169143,322
"23","267457429","NOAA Marine Debris","NOAADebris","Silver Spring, MD","The NOAA Marine Debris Program leads national and international efforts to keep the sea free of debris!",11933,368
"24","2196784676","NOAA Clean Coasts","NOAACleanCoasts","","NOAA's Office of Response and Restoration develops scientific solutions to keep the coasts clean from threats of oil, chemicals, and marine debris.",6906,417
"25","2711909377","NOAA AOML","NOAA_AOML","Miami, Florida","Atlantic Oceanographic & Meteorological Laboratory: A @NOAA research lab improving ocean services, ecosystem management and hurricane research for the nation.",5076,177
"26","373526339","NOAA Habitat","NOAAHabitat","Silver Spring, MD","NOAA Fisheries' Office of Habitat Conservation protects, restores, and promotes stewardship of coastal and marine habitat to support our nation's fisheries.",13907,349
"27","3331224411","NOAA WRN Ambassadors","WRNAmbassadors","","Official Twitter account for the NOAA Weather-Ready Nation Ambassador™ initiative. Details: http://t.co/mRyGMdRYT3",4055,421
"28","33578432","NOAA Teacher at Sea","TeacherAtSea","Nationwide","NOAA’s Teacher at Sea program gives K-College teachers insight into our ocean planet & increases understanding of science through real research projects.",13542,889
"29","991531530","NOAA NCEI Ocean Geo","NOAANCEIocngeo","United States","NOAA’s National Centers for Environmental Information (NCEI) preserve, monitor, assess, and provide access to the Nation’s environmental data and information.",3347,133
"30","3040284751","NOAA ESRL","NOAA_ESRL","Boulder, CO","The NOAA Earth System Research Laboratory: World-class climate, weather, and air quality research and information products for the nation.",1677,377
"31","747469422516932608","NOAA Education","NOAAeducation","","#Student opportunities, #educator professional development, grants, and the adventures of #NOAAScholars, brought to you by @NOAA. Like,RT,follow≠endorsement.",1816,233
"32","3001660079","NOAA Coral Program","NOAACoral","Maryland, USA","@NOAACoral is the official Twitter account for NOAA's Coral Reef Conservation Program. We preserve & restore coral reefs for current and future generations.",3448,246
"33","57077129","NOAA's Monterey Bay NMS","MBNMS","Monterey, CA USA","NOAA's Monterey Bay National Marine Sanctuary (MBNMS) is a federal marine protected area offshore of California's central coast, from Marin to Cambria.",3693,272
"34","48307930","NOAA HI Islands Humpback Whale NMS","Hihumpbackwhale","Hawaii","NOAA's Hawaiian Islands Humpback Whale National Marine Sanctuary protects humpback whales and their habitat in Hawaii.  Get involved in protecting our ocean.",2584,16
"35","16186865","NOAA's Cordell Bank National Marine Sanctuary","CordellBank","Point Reyes, CA","Cordell Bank National Marine Sanctuary is one of NOAA's 14 underwater treasures protected by the National Marine Sanctuary Program.",1218,68
"36","1228588171","NOAA Channel Islands NMS","NOAA_CINMS","","NOAA Channel Islands National Marine Sanctuary was designated in 1980 to protect marine resources surrounding five northern Channel Islands off California.",1470,122
"37","200194491","NOAA's Farallones Sanctuary","GFNMS","San Francisco","NOAA's Greater Farallones National Marine Sanctuary off San Francisco protects ocean wildlife and habitats through education and research.",546,33
"38","15822969","Sanctuaries (NOAA)","sanctuaries","United States","The National Marine Sanctuary System is a network of special places preserving & protecting America's ocean and Great Lakes. RTs/follows are not endorsements.",64182,2361
"39","453297731","NOAA (uncensored)","noaagov","","Unofficial ""resistance"" group for NOAA. We are dedicated to the understanding and stewardship of the environment.",29762,31
"40","824400401797619712","Rogue NOAA","RogueNOAA","United States","Research on our climate, oceans, and marine resources should be subject to peer [not political] review. *Not an official NOAA account*",55778,17
"41","2460145735","NOAA Satellites PA","NOAASatellitePA","Silver Spring, MD","Media relations @NOAASatellites by PA Officer John Leslie. NOAA's weather satellites provide accurate, real-time and near-real-time observations.",7964,2453
"42","334752934","Keeley Belva, NOAA","KeeleyBelvaNOAA","DC, via HI & CO","Acting Director of Public Affairs at @NOAA's National Ocean Service",785,692
"43","2363266844","Eileen Sobeck","Eileen_NOAAFish","","Former Assistant Administrator for NOAA Fisheries from Jan. 2014 to Jan. 2017 https://t.co/RWf25yd3Uj",691,51
"44","143063931","HRD/AOML/NOAA","HRD_AOML_NOAA","Key Biscayne, Fl","The Hurricane Research Division (HRD) is a part of the Atlantic Oceanographic and Meteorological Laboratory (AOML).",30240,7
"45","281530541","NOAA Fisheries","NOAAFisheries","United States","Science-based conservation & management for sustainable living marine resources & healthy ecosystems. Visit us online: http://t.co/dAXVYcS7Uq",41110,408
"46","80613575","NOAA/NASA SciJinks","scijinks","NASA-JPL, Pasadena, CA","SciJinks targets middle-school students and teachers with fun, games, and useful information about weather and other Earth science subjects.",7437,171
"47","19990779","NOAA Coast Survey","NOAAcharts","USA","This account will not be actively managed during the federal government shutdown. Visit https://t.co/2IKPI9c0es to learn more.",12190,344
"48","218951054","NOAA Digital Coast","NOAADigCoast","Charleston, SC","National Oceanic and Atmospheric Administration Office for Coastal Management works with partners to provide data, tools and information for coastal managers.",16427,3784
"49","3689008517","NOAA SBIR","NOAASBIR","","Official Twitter account of the NOAA Small Business Innovation Research (#SBIR) Program. Likes, re-Tweets, and Follows do not constitute endorsement.",630,373
"50","373373336","NOAA Research","NOAAResearch","US","NOAA Research provides the research foundation for understanding our planet and technological innovation and scientific advances that improve our lives.",56016,498
"51","2216979384","Monica Allen NOAA","MAllenNOAA","Washington, D.C.","Public affairs @NOAAResearch. Helping journalists report on weather, climate, Great Lakes & the ocean. Tweets are my own. Contact: monica.allen@noaa.gov",861,1713
